energy, number of points
2.328996,343.000000
2.384066,343.000000
1.730317,343.000000
3.766671,343.000000
4.601056,343.000000
2.531453,343.000000
4.688298,343.000000
1.732662,343.000000
2.340609,343.000000
1.244998,343.000000
5.212849,343.000000
2.087001,343.000000
5.271726,343.000000
1.316445,343.000000
5.881051,343.000000
3.347345,343.000000
0.429889,343.000000
4.095557,343.000000
4.218423,343.000000
1.134015,343.000000
3.524491,343.000000
2.363915,343.000000
2.279065,343.000000
1.880139,343.000000
2.816482,343.000000
5.747597,343.000000
0.856533,343.000000
3.792845,343.000000
0.999547,343.000000
1.999036,343.000000
1.918790,343.000000
1.208681,343.000000
1.587605,343.000000
1.366349,343.000000
0.572793,343.000000
1.096726,343.000000
1.852139,273.000000
1.884975,273.000000
5.209086,273.000000
1.172067,273.000000
2.301158,273.000000
1.465849,273.000000
3.180135,273.000000
2.497861,273.000000
0.576786,273.000000
3.926877,273.000000
2.298795,273.000000
1.502551,273.000000
6.256957,273.000000
1.672006,273.000000
1.543183,273.000000
3.856999,273.000000
2.405886,273.000000
0.485032,273.000000
1.422575,273.000000
2.853671,273.000000
0.687399,273.000000
1.947312,273.000000
0.489184,273.000000
3.528477,273.000000
2.280770,273.000000
0.335555,273.000000
1.471621,273.000000
3.950655,273.000000
0.620610,273.000000
0.605769,273.000000
1.385159,273.000000
1.701605,273.000000
0.692399,273.000000
1.923031,273.000000
0.783361,273.000000
1.227019,273.000000
0.825251,273.000000
1.260290,273.000000
1.786101,273.000000
0.423368,273.000000
1.831423,273.000000
2.073251,273.000000
0.963983,273.000000
0.654389,273.000000
1.736370,273.000000
0.440334,273.000000
1.521972,211.000000
2.390275,211.000000
1.472758,211.000000
0.894764,211.000000
2.225870,211.000000
2.052776,211.000000
1.433612,211.000000
0.769265,211.000000
1.390556,211.000000
4.077031,211.000000
2.021725,211.000000
0.941106,211.000000
2.818690,211.000000
1.727121,211.000000
0.830357,211.000000
2.334931,211.000000
0.636740,211.000000
1.709672,211.000000
2.211851,211.000000
1.086882,211.000000
0.759021,211.000000
6.005459,211.000000
0.972750,211.000000
2.087747,211.000000
3.726878,211.000000
1.807916,211.000000
2.193527,211.000000
3.261897,211.000000
2.823647,211.000000
0.231329,211.000000
2.571082,211.000000
3.387028,211.000000
1.475443,211.000000
0.167544,211.000000
1.194429,211.000000
2.438859,211.000000
1.409590,211.000000
0.598281,211.000000
0.407848,211.000000
0.860303,211.000000
1.483784,211.000000
1.028982,211.000000
0.285660,211.000000
0.753641,211.000000
1.100366,211.000000
1.091572,211.000000
1.227552,211.000000
0.961716,211.000000
1.376734,211.000000
0.774013,211.000000
1.918545,211.000000
0.779432,211.000000
0.703376,211.000000
1.460961,211.000000
0.627494,211.000000
0.869296,211.000000
0.853911,211.000000
0.844758,211.000000
0.512182,211.000000
0.919875,157.000000
1.088393,157.000000
1.487752,157.000000
1.335636,157.000000
0.899609,157.000000
0.329655,157.000000
0.891602,157.000000
1.683941,157.000000
1.665048,157.000000
0.777196,157.000000
0.701973,157.000000
1.886515,157.000000
0.754667,157.000000
1.205430,157.000000
2.017321,157.000000
0.730544,157.000000
0.386285,157.000000
1.622859,157.000000
2.727212,157.000000
2.047323,157.000000
0.206788,157.000000
1.449800,157.000000
1.357163,157.000000
1.110568,157.000000
0.452511,157.000000
0.537913,157.000000
1.033686,157.000000
1.383252,157.000000
0.825967,157.000000
0.327066,157.000000
1.073116,157.000000
0.878289,157.000000
0.465222,157.000000
0.608897,157.000000
1.413496,157.000000
1.409127,157.000000
0.161904,157.000000
1.178265,157.000000
1.631549,157.000000
0.663413,157.000000
0.599246,157.000000
0.769507,157.000000
0.460724,157.000000
1.218545,157.000000
1.888300,157.000000
0.896238,157.000000
0.157420,157.000000
0.556973,157.000000
0.749929,157.000000
1.825416,157.000000
0.352211,157.000000
0.732563,157.000000
0.716707,157.000000
0.399665,157.000000
0.496575,157.000000
0.588937,157.000000
1.977933,157.000000
0.333120,157.000000
0.451742,157.000000
0.478009,157.000000
0.338026,157.000000
1.081377,157.000000
0.376370,157.000000
0.414880,157.000000
0.283250,157.000000
0.467418,157.000000
0.568911,157.000000
0.421605,157.000000
0.420152,157.000000
0.346662,157.000000
0.232688,157.000000
0.538779,157.000000
0.336633,157.000000
0.353297,157.000000
0.553680,157.000000
0.177135,157.000000
1.073476,157.000000
0.753318,157.000000
0.506360,157.000000
1.596768,157.000000
0.747723,111.000000
1.937243,111.000000
0.657612,111.000000
0.428408,111.000000
0.767724,111.000000
1.362125,111.000000
2.185992,111.000000
0.546714,111.000000
0.363296,111.000000
0.770702,111.000000
0.890534,111.000000
0.905389,111.000000
0.518046,111.000000
0.440664,111.000000
0.721211,111.000000
0.854090,111.000000
0.638057,111.000000
0.414363,111.000000
0.706806,111.000000
0.734874,111.000000
0.834880,111.000000
0.623613,111.000000
1.085080,111.000000
0.278968,111.000000
0.462456,111.000000
0.450713,111.000000
0.814851,111.000000
1.383272,111.000000
0.785220,111.000000
0.192031,111.000000
0.363478,111.000000
0.782015,111.000000
1.412946,111.000000
0.613797,111.000000
0.479686,111.000000
0.261719,111.000000
0.415160,111.000000
0.687547,111.000000
0.693903,111.000000
0.414636,111.000000
0.349250,111.000000
0.223755,111.000000
0.416111,111.000000
0.220690,111.000000
0.522082,111.000000
0.290618,111.000000
0.528219,111.000000
0.172392,111.000000
0.707429,111.000000
0.338673,111.000000
0.644573,111.000000
0.167587,111.000000
0.615205,111.000000
0.244816,111.000000
0.599931,111.000000
0.181803,111.000000
0.793606,111.000000
0.414727,111.000000
0.151244,111.000000
0.266474,111.000000
1.269588,111.000000
1.005004,111.000000
0.486351,111.000000
0.207715,111.000000
0.643689,111.000000
0.918626,111.000000
0.488201,111.000000
0.209343,111.000000
1.189384,111.000000
0.926231,111.000000
0.658886,111.000000
0.185832,111.000000
0.633299,111.000000
1.196756,111.000000
1.009156,111.000000
0.531093,111.000000
0.189735,111.000000
0.631488,111.000000
0.222084,111.000000
0.900636,111.000000
0.500388,111.000000
0.628504,111.000000
0.074345,111.000000
0.087582,111.000000
0.889389,111.000000
0.475952,111.000000
0.545734,111.000000
0.222492,111.000000
0.137157,111.000000
0.171137,111.000000
0.342574,111.000000
0.436913,111.000000
0.416416,111.000000
0.384267,111.000000
0.195720,111.000000
0.202232,111.000000
0.802428,111.000000
0.493885,111.000000
0.826309,111.000000
0.145524,111.000000
0.166521,111.000000
0.368022,111.000000
0.482361,111.000000
0.226727,111.000000
0.383603,111.000000
0.867263,111.000000
0.291659,111.000000
0.148232,111.000000
0.359525,111.000000
0.674014,111.000000
0.366937,111.000000
0.370966,73.000000
0.692985,73.000000
1.074238,73.000000
0.951933,73.000000
0.414865,73.000000
0.366775,73.000000
0.355345,73.000000
0.296830,73.000000
1.037058,73.000000
0.664569,73.000000
0.499751,73.000000
0.484933,73.000000
0.387447,73.000000
0.391611,73.000000
1.026496,73.000000
0.643334,73.000000
0.369409,73.000000
0.547113,73.000000
0.548410,73.000000
0.422034,73.000000
0.450142,73.000000
0.414420,73.000000
0.459880,73.000000
0.214832,73.000000
0.323073,73.000000
0.343400,73.000000
0.230204,73.000000
0.206854,73.000000
0.770737,73.000000
0.415765,73.000000
0.272980,73.000000
0.435917,73.000000
0.195502,73.000000
0.330121,73.000000
0.421332,73.000000
0.366001,73.000000
0.380728,73.000000
0.417439,73.000000
0.359481,73.000000
0.447787,73.000000
0.425013,73.000000
0.139522,73.000000
0.204589,73.000000
0.609760,73.000000
0.696060,73.000000
0.601849,73.000000
0.334954,73.000000
0.083382,73.000000
0.261530,73.000000
0.488209,73.000000
0.723350,73.000000
0.666625,73.000000
0.295562,73.000000
0.219438,73.000000
0.166801,73.000000
0.172036,73.000000
0.455445,73.000000
0.628176,73.000000
0.264104,73.000000
0.217923,73.000000
0.257872,73.000000
0.366435,73.000000
0.426112,73.000000
0.169997,73.000000
0.216264,73.000000
0.287159,73.000000
0.262078,73.000000
0.590813,73.000000
0.414177,73.000000
0.192249,73.000000
0.350429,73.000000
0.132372,73.000000
0.326904,73.000000
0.391200,73.000000
0.373940,73.000000
0.408462,73.000000
0.122368,73.000000
0.146868,73.000000
0.333001,73.000000
0.322593,73.000000
0.580473,73.000000
0.339516,73.000000
0.150564,73.000000
0.209285,73.000000
0.478794,73.000000
0.165506,73.000000
0.213558,73.000000
0.148781,73.000000
0.113078,73.000000
0.184490,73.000000
0.436814,73.000000
0.340943,73.000000
0.073251,73.000000
0.104899,73.000000
0.435052,73.000000
0.519726,73.000000
0.492178,73.000000
0.182087,73.000000
0.071978,73.000000
0.134420,73.000000
0.570640,73.000000
0.611562,73.000000
0.523295,73.000000
0.192438,73.000000
0.064178,73.000000
0.065282,73.000000
0.320853,73.000000
0.496037,73.000000
0.672796,73.000000
0.271763,73.000000
0.174814,73.000000
0.046938,73.000000
0.069025,73.000000
0.102738,73.000000
0.257920,73.000000
0.390190,73.000000
0.174324,73.000000
0.493166,73.000000
0.121171,73.000000
0.026686,73.000000
0.048772,73.000000
0.131981,73.000000
0.217567,73.000000
0.304386,73.000000
0.238900,73.000000
0.215765,73.000000
0.084727,73.000000
0.135454,73.000000
0.172920,73.000000
0.271288,73.000000
0.338276,73.000000
0.112316,73.000000
0.064186,73.000000
0.304486,73.000000
0.399235,73.000000
0.286877,73.000000
0.189296,73.000000
0.082459,73.000000
0.290839,73.000000
0.280930,73.000000
0.555094,73.000000
0.316224,73.000000
0.081902,73.000000
0.070700,73.000000
0.255259,73.000000
0.252029,73.000000
0.132820,73.000000
0.122810,73.000000
0.108077,73.000000
0.387890,73.000000
0.121307,73.000000
0.133275,73.000000
0.096324,73.000000
0.160329,73.000000
0.156364,73.000000
0.061322,73.000000
0.450417,73.000000
0.164759,73.000000
0.248875,73.000000
0.132521,73.000000
0.037362,73.000000
0.090412,73.000000
0.464889,73.000000
0.314658,73.000000
0.177179,73.000000
0.144974,73.000000
0.139050,73.000000
0.367903,43.000000
0.352742,43.000000
0.352139,43.000000
0.351536,43.000000
0.242973,43.000000
0.242502,43.000000
0.350248,43.000000
0.349657,43.000000
0.315374,43.000000
0.362188,43.000000
0.401799,43.000000
0.241526,43.000000
0.241051,43.000000
0.246471,43.000000
0.330012,43.000000
0.291534,43.000000
0.369728,43.000000
0.403422,43.000000
0.402765,43.000000
0.258496,43.000000
0.258008,43.000000
0.257521,43.000000
0.269174,43.000000
0.212997,43.000000
0.336831,43.000000
0.336259,43.000000
0.350218,43.000000
0.210105,43.000000
0.176705,43.000000
0.249762,43.000000
0.270958,43.000000
0.270460,43.000000
0.337563,43.000000
0.370903,43.000000
0.248803,43.000000
0.187341,43.000000
0.186953,43.000000
0.189219,43.000000
0.243659,43.000000
0.418812,43.000000
0.418155,43.000000
0.373856,43.000000
0.244626,43.000000
0.244173,43.000000
0.164280,43.000000
0.163928,43.000000
0.189619,43.000000
0.403831,43.000000
0.363588,43.000000
0.281329,43.000000
0.251023,43.000000
0.250549,43.000000
0.207859,43.000000
0.172517,43.000000
0.309466,43.000000
0.280101,43.000000
0.349013,43.000000
0.269503,43.000000
0.270665,43.000000
0.203765,43.000000
0.078987,43.000000
0.050922,43.000000
0.107442,43.000000
0.087676,43.000000
0.094249,43.000000
0.119809,43.000000
0.119557,43.000000
0.200001,43.000000
0.194091,43.000000
0.317932,43.000000
0.095803,43.000000
0.095572,43.000000
0.156062,43.000000
0.104698,43.000000
0.043279,43.000000
0.043150,43.000000
0.163974,43.000000
0.268680,43.000000
0.245892,43.000000
0.184036,43.000000
0.209557,43.000000
0.108354,43.000000
0.031702,43.000000
0.023200,43.000000
0.071968,43.000000
0.280577,43.000000
0.325251,43.000000
0.274434,43.000000
0.241272,43.000000
0.122776,43.000000
0.109635,43.000000
0.069234,43.000000
0.070938,43.000000
0.122847,43.000000
0.336254,43.000000
0.226519,43.000000
0.117582,43.000000
0.141523,43.000000
0.122084,43.000000
0.143238,43.000000
0.047511,43.000000
0.121379,43.000000
0.097487,43.000000
0.154696,43.000000
