Distance,Azimuth,Elevations
29.900000,-15.134188,1.967445
29.900000,-13.923453,1.967445
29.900000,-12.712718,1.967445
29.900000,-11.501983,1.967445
29.900000,-10.291248,1.967445
29.900000,-9.080513,1.967445
29.900000,-7.869778,1.967445
29.900000,-6.659043,1.967445
29.900000,-5.448308,1.967445
29.900000,-4.237573,1.967445
29.900000,-3.026838,1.967445
29.900000,-1.816103,1.967445
29.900000,-0.605367,1.967445
29.900000,0.605367,1.967445
29.900000,1.816103,1.967445
29.900000,3.026838,1.967445
29.900000,4.237573,1.967445
29.900000,5.448308,1.967445
29.900000,6.659043,1.967445
29.900000,7.869778,1.967445
29.900000,9.080513,1.967445
29.900000,10.291248,1.967445
29.900000,11.501983,1.967445
29.900000,12.712718,1.967445
29.900000,13.923453,1.967445
29.900000,15.134188,1.967445
29.900000,16.344923,1.967445
29.900000,17.555658,1.967445
29.900000,18.766394,1.967445
29.900000,19.977129,1.967445
29.900000,21.187862,1.967445
29.900000,22.398598,1.967445
29.900000,23.609335,1.967445
29.900000,24.820068,1.967445
29.900000,26.030804,1.967445
29.900000,27.241539,1.967445
29.900000,28.452272,1.967445
29.900000,29.965693,1.967445
29.900000,-29.663010,2.572812
29.900000,-28.452272,2.572812
29.900000,-27.241539,2.572812
29.900000,-26.030804,2.572812
29.900000,-24.820068,2.572812
29.900000,-23.609335,2.572812
29.900000,-22.398598,2.572812
29.900000,-21.187862,2.572812
29.900000,-19.977129,2.572812
29.900000,-18.766394,2.572812
29.900000,-17.555658,2.572812
29.900000,-16.344923,2.572812
29.900000,-15.134188,2.572812
29.900000,-13.923453,2.572812
29.900000,-12.712718,2.572812
29.900000,-11.501983,2.572812
29.900000,-10.291248,2.572812
29.900000,-9.080513,2.572812
29.900000,-7.869778,2.572812
29.900000,-6.659043,2.572812
29.900000,-5.448308,2.572812
29.900000,-4.237573,2.572812
29.900000,-3.026838,2.572812
29.900000,-1.816103,2.572812
29.900000,-0.605367,2.572812
29.900000,0.605367,2.572812
29.900000,1.816103,2.572812
29.900000,3.026838,2.572812
29.900000,4.237573,2.572812
29.900000,5.448308,2.572812
29.900000,6.659043,2.572812
29.900000,7.869778,2.572812
29.900000,9.080513,2.572812
29.900000,10.291248,2.572812
29.900000,11.501983,2.572812
29.900000,12.712718,2.572812
29.900000,13.923453,2.572812
29.900000,15.134188,2.572812
29.900000,16.344923,2.572812
29.900000,17.555658,2.572812
29.900000,18.766394,2.572812
29.900000,19.977129,2.572812
29.900000,21.187862,2.572812
29.900000,22.398598,2.572812
